"url","headline","summary","date","tag"
"https://www.bbc.com/news/articles/cy70y2x3xj6o","The record-breaking tunnel being built from Denmark to Germany","The rail and road link will slash journey times between much of Scandinavia and continental Europe.","22 Apr 2025","Europe"
"https://www.bbc.com/sport/cricket/articles/c1egv1j137do","'Tremendous' Jersey win six out of six in Cyprus","Jersey put in a ""tremendous"" performance as they win all six of their T20 international matches in Cyprus over Easter.","22 Apr 2025","Cricket"
"https://www.bbc.com/news/articles/c5ygdv47vlzo","US sets tariffs of up to 3,521% on South East Asia solar panels","Several Chinese solar companies with factories across the region could face steep new tariffs.","22 Apr 2025","Business"
"https://www.bbc.com/news/articles/cjewdy2zw3go","US tariffs will make global trade shrink, says WTO","The Geneva-based institution says American tariffs will send international trade into reverse.","16 Apr 2025","Business"
"https://www.bbc.com/news/articles/c4gkvp6438ko","Trump proposes 80% China tariff ahead of trade talks","The meeting is the strongest sign yet that the world's two biggest economies are ready to de-escalate their trade war.","8 days ago","Business"
"https://www.bbc.com/news/articles/c1egd6n77djo","Baccalaureate diploma pause devastating - students","The International Baccalaureate Diploma Programme has been paused due to few students signing up.","17 Apr 2025","Guernsey"
"https://www.bbc.com/audio/play/m00298wb","Glasgow International Comedy Festival Special: Susie McCabe, Ignacio Lopez, Susan Riddell and Liam Withnail","Des Clarke hosts Scotland's award-winning satirical news quiz.","28 Mar 2025","Comedy"
"https://www.bbc.com/news/articles/c86jyw5jp6go","Trump hints at softening China tariffs and says no plan to sack Fed boss","His comments come amid a trade war with Beijing, and after his attacks on the US central bank's boss.","23 Apr 2025","Business"
"https://www.bbc.com/news/articles/cwy7n7dn530o","Plans announced to propel aviation innovation","John Dewling says it hopes the company can ""push the boundaries"" in green flight technology.","17 Apr 2025","Norfolk"
"https://www.bbc.com/news/articles/czx17361pw1o","Designed in US, made in China: Why Apple is stuck","China sits at the heart of Apple's supply chain - and has benefited hugely from it. Can they break up?","18 Apr 2025","Asia"
"https://www.bbc.com/news/articles/cdrg6mnr8vpo","Gold hits new record over US-China trade war fears","Prices rose after the US Fed's chair warned tariffs could hit economic growth and fuel inflation.","17 Apr 2025","Business"
"https://www.bbc.com/news/articles/clyzv1384wno","UK hits back at claims US tariff deal bad for China","The UK government said there was ""no such thing as a veto on Chinese investment"" in its tariff deal with the US.","3 days ago","Business"
"https://www.bbc.com/sport/rugby-union/articles/czx13q6xz63o","New Zealand's Woodman-Wickliffe reverses retirement","New Zealand star Portia Woodman-Wickliffe announces she will come out of international retirement and has set her sights on the 2025 World Cup.","22 Apr 2025","Rugby Union"
"https://www.bbc.com/audio/play/p0l4hnsy","Who is on board Air Force Hun?","Today's puns include Air Force Hun and International Space StaishHUN.  Jump on board huns!","15 Apr 2025","Comedy"
"https://www.bbc.com/news/videos/cj0zny7mz4jo","Watch: Moment Delta plane engine catches fire","Passengers have been forced to evacuate a Delta plane after an engine caught fire while on the tarmac at Orlando International Airport in Florida.","21 Apr 2025","US & Canada"
"https://www.bbc.com/news/articles/cn048612x1ro","Cornwall to host international mining competition","The museum will welcome 45 teams from across the globe including Australia, the USA, and Germany.","21 Mar 2025","Cornwall"
"https://www.bbc.com/news/articles/c8ep2p19ep9o","UN's top court begins hearings on Israel's legal duties towards Palestinians","Dozens of countries will give evidence at the ICJ hearings, which Israel has labelled a ""circus"".","28 Apr 2025","World"
